noisy_romaji	kanji	clean_romaji	typo_distance	romaji_style	is_partial	partial_len	tokenized	language_segments	has_en_words
kyou	今日	kyou	0	hepburn	0	0	kyou今日		0
kyu	今日	kyou	1	hepburn	0	0	kyu今日		0
kou	今日	kyou	2	hepburn	0	0	kou今日		0
mkyiu	今日	kyou	3	hepburn	0	0	mkyiu今日		0
ky	今日	ky	0	hepburn	1	2	ky今日		0
ku	今日	ky	1	hepburn	1	2	ku今日		0
m	今日	ky	2	hepburn	1	2	m今日		0
hy	今日	ky	3	hepburn	1	2	hy今日		0
kyou	今日	kyou	0	hepburn	1	4	kyou今日		0
lkyou	今日	kyou	1	hepburn	1	4	lkyou今日		0
krtou	今日	kyou	2	hepburn	1	4	krtou今日		0
kjyouy	今日	kyou	3	hepburn	1	4	kjyouy今日		0
kyou	今日	kyou	0	kunrei	0	0	kyou今日		0
kyu	今日	kyou	1	kunrei	0	0	kyu今日		0
kyouji	今日	kyou	2	kunrei	0	0	kyouji今日		0
poyu	今日	kyou	3	kunrei	0	0	poyu今日		0
kyo	今日	kyo	0	kunrei	1	3	kyo今日		0
yo	今日	kyo	1	kunrei	1	3	yo今日		0
oy	今日	kyo	2	kunrei	1	3	oy今日		0
oki	今日	kyo	3	kunrei	1	3	oki今日		0
k	今日	k	0	kunrei	1	1	k今日		0
lk	今日	k	1	kunrei	1	1	lk今日		0
lo	今日	k	2	kunrei	1	1	lo今日		0
m	今日	k	3	kunrei	1	1	m今日		0
kyou	今日	kyou	0	waapuro	0	0	kyou今日		0
koyu	今日	kyou	1	waapuro	0	0	koyu今日		0
yohu	今日	kyou	2	waapuro	0	0	yohu今日		0
y	今日	kyou	3	waapuro	0	0	y今日		0
k	今日	k	0	waapuro	1	1	k今日		0
o	今日	k	1	waapuro	1	1	o今日		0
	今日	k	2	waapuro	1	1	今日		0
	今日	k	3	waapuro	1	1	今日		0
kyou	今日	kyou	0	waapuro	1	4	kyou今日		0
myou	今日	kyou	1	waapuro	1	4	myou今日		0
okyu	今日	kyou	2	waapuro	1	4	okyu今日		0
ioku	今日	kyou	3	waapuro	1	4	ioku今日		0
hare	晴れ	hare	0	hepburn	0	0	hare晴れ		0
hwre	晴れ	hare	1	hepburn	0	0	hwre晴れ		0
hra	晴れ	hare	2	hepburn	0	0	hra晴れ		0
here	晴れ	hare	3	hepburn	0	0	here晴れ		0
hare	晴れ	hare	0	hepburn	1	4	hare晴れ		0
har	晴れ	hare	1	hepburn	1	4	har晴れ		0
jarr	晴れ	hare	2	hepburn	1	4	jarr晴れ		0
ah	晴れ	hare	3	hepburn	1	4	ah晴れ		0
ha	晴れ	ha	0	hepburn	1	2	ha晴れ		0
haw	晴れ	ha	1	hepburn	1	2	haw晴れ		0
qh	晴れ	ha	2	hepburn	1	2	qh晴れ		0
ysa	晴れ	ha	3	hepburn	1	2	ysa晴れ		0
hare	晴れ	hare	0	kunrei	0	0	hare晴れ		0
haer	晴れ	hare	1	kunrei	0	0	haer晴れ		0
hre	晴れ	hare	2	kunrei	0	0	hre晴れ		0
har	晴れ	hare	3	kunrei	0	0	har晴れ		0
h	晴れ	h	0	kunrei	1	1	h晴れ		0
	晴れ	h	1	kunrei	1	1	晴れ		0
s	晴れ	h	2	kunrei	1	1	s晴れ		0
f	晴れ	h	3	kunrei	1	1	f晴れ		0
ha	晴れ	ha	0	kunrei	1	2	ha晴れ		0
h	晴れ	ha	1	kunrei	1	2	h晴れ		0
u	晴れ	ha	2	kunrei	1	2	u晴れ		0
hyu	晴れ	ha	3	kunrei	1	2	hyu晴れ		0
hare	晴れ	hare	0	waapuro	0	0	hare晴れ		0
har	晴れ	hare	1	waapuro	0	0	har晴れ		0
hdre	晴れ	hare	2	waapuro	0	0	hdre晴れ		0
haetr	晴れ	hare	3	waapuro	0	0	haetr晴れ		0
har	晴れ	har	0	waapuro	1	3	har晴れ		0
hra	晴れ	har	1	waapuro	1	3	hra晴れ		0
har	晴れ	har	2	waapuro	1	3	har晴れ		0
tha	晴れ	har	3	waapuro	1	3	tha晴れ		0
hare	晴れ	hare	0	waapuro	1	4	hare晴れ		0
yhare	晴れ	hare	1	waapuro	1	4	yhare晴れ		0
harde	晴れ	hare	2	waapuro	1	4	harde晴れ		0
hfra	晴れ	hare	3	waapuro	1	4	hfra晴れ		0
asu	明日	asu	0	hepburn	0	0	asu明日		0
wsu	明日	asu	1	hepburn	0	0	wsu明日		0
asji	明日	asu	2	hepburn	0	0	asji明日		0
da	明日	asu	3	hepburn	0	0	da明日		0
asu	明日	asu	0	hepburn	1	3	asu明日		0
au	明日	asu	1	hepburn	1	3	au明日		0
swau	明日	asu	2	hepburn	1	3	swau明日		0
ua	明日	asu	3	hepburn	1	3	ua明日		0
a	明日	a	0	hepburn	1	1	a明日		0
sa	明日	a	1	hepburn	1	1	sa明日		0
xz	明日	a	2	hepburn	1	1	xz明日		0
	明日	a	3	hepburn	1	1	明日		0
asu	明日	asu	0	kunrei	0	0	asu明日		0
as	明日	asu	1	kunrei	0	0	as明日		0
xsu	明日	asu	2	kunrei	0	0	xsu明日		0
ase	明日	asu	3	kunrei	0	0	ase明日		0
a	明日	a	0	kunrei	1	1	a明日		0
z	明日	a	1	kunrei	1	1	z明日		0
z	明日	a	2	kunrei	1	1	z明日		0
qz	明日	a	3	kunrei	1	1	qz明日		0
as	明日	as	0	kunrei	1	2	as明日		0
ads	明日	as	1	kunrei	1	2	ads明日		0
acd	明日	as	2	kunrei	1	2	acd明日		0
axs	明日	as	3	kunrei	1	2	axs明日		0
asu	明日	asu	0	waapuro	0	0	asu明日		0
wasu	明日	asu	1	waapuro	0	0	wasu明日		0
ays	明日	asu	2	waapuro	0	0	ays明日		0
was	明日	asu	3	waapuro	0	0	was明日		0
as	明日	as	0	waapuro	1	2	as明日		0
az	明日	as	1	waapuro	1	2	az明日		0
ae	明日	as	2	waapuro	1	2	ae明日		0
qa	明日	as	3	waapuro	1	2	qa明日		0
asu	明日	asu	0	waapuro	1	3	asu明日		0
su	明日	asu	1	waapuro	1	3	su明日		0
ayu	明日	asu	2	waapuro	1	3	ayu明日		0
su	明日	asu	3	waapuro	1	3	su明日		0
ame	雨	ame	0	hepburn	0	0	ame雨		0
aem	雨	ame	1	hepburn	0	0	aem雨		0
amfe	雨	ame	2	hepburn	0	0	amfe雨		0
ads	雨	ame	3	hepburn	0	0	ads雨		0
a	雨	a	0	hepburn	1	1	a雨		0
w	雨	a	1	hepburn	1	1	w雨		0
a	雨	a	2	hepburn	1	1	a雨		0
w	雨	a	3	hepburn	1	1	w雨		0
ame	雨	ame	0	hepburn	1	3	ame雨		0
zme	雨	ame	1	hepburn	1	3	zme雨		0
abme	雨	ame	2	hepburn	1	3	abme雨		0
sade	雨	ame	3	hepburn	1	3	sade雨		0
ame	雨	ame	0	kunrei	0	0	ame雨		0
same	雨	ame	1	kunrei	0	0	same雨		0
ssame	雨	ame	2	kunrei	0	0	ssame雨		0
samq	雨	ame	3	kunrei	0	0	samq雨		0
ame	雨	ame	0	kunrei	1	3	ame雨		0
ae	雨	ame	1	kunrei	1	3	ae雨		0
je	雨	ame	2	kunrei	1	3	je雨		0
eaje	雨	ame	3	kunrei	1	3	eaje雨		0
am	雨	am	0	kunrei	1	2	am雨		0
